Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
439880,521-зд от 14.09.2022,Пао 'россети ленэнерго',7803002209,Ооо 'энергетическое строительство',7813548237,Калининский,Полюстровский пр. От менделеевской ул. До чичуринского пер.),Огранич.движения,Работы по прокладке электрокабеля,20220917,20221009,-,(этап 3),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=558686&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439880&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e506390&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=726071&p3=246&p4=439880,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=333606&p3=102&p4=439880,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439880&msk=0&t=1
439885,522-зд от 14.09.2022,Спб гбу 'мостотрест',7806215195,Ооо 'артстройгрупп',7814547740,Невский,_невский путепровод,Огранич.движения,Работы по ремонту дорожного покрытия,20220918,20220930,20221004,На срок с 01:00 18.09.2022 до 23:00 30.09.2022 (этапы 1-5 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559685&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439885&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e507663&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=726317&p3=234&p4=439885,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=333708&p3=55&p4=439885,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439885&msk=0&t=1
439893,527-зд от 14.09.2022,Ооо 'петербурггаз',7838017541,Ооо 'петербурггаз',7838017541,Василеостровский,"Уральская ул. , пр.кима)",Огранич.движения,Работы по прокладке инжененрных сетей,20220917,20221014,20221020,(этапы 1-7 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559692&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439893&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e507103&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=726551&p3=306&p4=439893,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=333763&p3=335&p4=439893,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439893&msk=0&t=1
439897,530-зд от 14.09.2022,Спб гку 'дирекция транспортного строительства',7825342390,Спб гку 'дирекция транспортного строительства',7825342390,Приморский,Ул.оптиков от стародеревенской ул. До гаккелевской ул.),Огранич.движения,Работы по ремонту трамвайных путей,20220917,20221114,20221115,(этапы 1-3 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559691&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439897&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e484883&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=726857&p3=234&p4=439897,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334098&p3=56&p4=439897,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439897&msk=0&t=1
439899,529-зд от 14.09.2022,Ооо 'петербурггаз',7838017541,Ооо 'петербурггаз',7838017541,Петроградский,Ул.академика павлова от уфимской ул. До тупика),Полное закрытие дв.,Работы по прокладке газопровода,20220917,20221014,20221021,"(этапы 1, 1.1, 2, 7 последовательно)",Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559690&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439899&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e507689&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=727091&p3=234&p4=439899,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334154&p3=55&p4=439899,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439899&msk=0&t=1
439906,523-зд от 14.09.2022,Спб гку 'дирекция транспортного строительства',7825342390,Спб гку 'дирекция транспортного строительства',7825342390,Фрунзенский,Малая балканская ул. От купчинской ул. До будапештской ул.),Полное закрытие дв.,Работы по прокладке инженерных сетей,20220929,20221003,20221004,(этап 1),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559688&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439906&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e507546&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=727325&p3=234&p4=439906,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334209&p3=53&p4=439906,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439906&msk=0&t=1
439908,524-зд от 14.09.2022,Ооо 'петербурггаз',7838017541,Ооо 'петербурггаз',7838017541,Приморский,Моховая ул. (посёлок лисий нос) от боровой ул. До холмистой ул.),Полное закрытие дв.,Работы по строительству газопровода,20220921,20221108,20221110,(этап 1) и с 07.11.2022 по 08.11.2022 (этап 2),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559695&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439908&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e439086&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=727559&p3=234&p4=439908,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334262&p3=53&p4=439908,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439908&msk=0&t=1
439909,525-зд от 14.09.2022,Спб гбу 'мостотрест',7806215195,Ооо 'артстройгрупп',7814547740,Фрунзенский,Рузовский мост,Огранич.движения,Работы по ремонту дорожного покрытия,20221001,20221015,20221018,На срок с 01:00 01.10.2022 до 23:00 15.10.2022 (этапы 1-5 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559938&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439909&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e507681&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=727793&p3=234&p4=439909,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334315&p3=49&p4=439909,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439909&msk=0&t=1
439937,537-зд от 16.09.2022,Ассоциация 'невский свет',7838342220,Ооо 'лсс',7801690870,Адмиралтейский,Ул.декабристов от наб.крюкова канала до ул.писарева; пер.матвеева),Огранич.движения,Работы по прокладке электрокабеля,20220919,20221005,20221007,"(этапы 23, 26, 13, 12 последовательно)",Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559879&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439937&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e507369&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=728027&p3=243&p4=439937,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334364&p3=90&p4=439937,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439937&msk=0&t=1
439944,536-зд от 16.09.2022,Спб гбу 'мостотрест',7806215195,Ооо 'артстройгрупп',7814547740,Приморский,1-й лахтинский мост,Огранич.движения,Работы по ремонту дорожного покрытия,20221016,20221031,20221031,На срок с 01:00 16.10.2022 до 23:00 31.10.2022 (этапы 1-7 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560062&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439944&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e507687&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=728270&p3=234&p4=439944,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334454&p3=50&p4=439944,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439944&msk=0&t=1
