Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
211180,1061-зд от 04.08.2014,Спб гку 'дирекция транспортного строительства',7825342390,Оао 'метрострой',7813046910,Приморский,Туристская ул. (от ул. Оптиков до мебельной ул.),Полное закрытие дв.,-,20140807,20181231,20181204,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=57023&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=211180&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=0&p3=234&p4=211180,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=0&p3=58&p4=211180,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e211180&msk=0&t=1
236410,1865-зд от 20.10.2015,Ооо 'бп истейт-ланское',7841465462,Ао 'проммонолит',7803058547,Выборгский,Пр.энгельса (от новороссийской ул. До новосильцевского пер.),Огранич.движения,-,20151103,20170407,20170731,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=106694&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=236410&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=234&p3=234&p4=236410,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=58&p3=58&p4=236410,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e236410&msk=0&t=1
240940,2-зд от 13.01.2016,Комитет по строительству,7830002342,Комитет по строительству,7830002342,Василеостровский,Камская ул. (от 14-15 линий в.о. До 16-17 линий в.о.),Огранич.движения,-,20160120,20160629,20160310,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=118422&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=240940&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=468&p3=234&p4=240940,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=116&p3=53&p4=240940,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e240940&msk=0&t=1
241102,16-зд от 15.01.2016,Ооо 'ск 'новая линия',7801419734,Ооо 'решение',7801625550,Адмиралтейский,Подъездной пер. (у д.12 от ул.марата до загородного пр.),Огранич.движения,-,20160122,20160518,20190424,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=118836&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=241102&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=702&p3=234&p4=241102,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=169&p3=51&p4=241102,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e241102&msk=0&t=1
241940,47-зд от 29.01.2016,Ао 'талион',7808025538,Ооо 'пётр великий',7825382561,Адмиралтейский,Галерная ул. ((нечетная сторона) от сенатской пл. До замятина пер.),Огранич.движения,-,20160203,20170210,20170404,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=120658&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=241940&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=936&p3=234&p4=241940,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=220&p3=51&p4=241940,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e241940&msk=0&t=1
241954,48-зд от 29.01.2016,Ао 'талион',7808025538,Ооо 'пётр великий',7825382561,Адмиралтейский,Английская наб. (от сенатской пл. До замятина пер.),Огранич.движения,-,20160203,20170210,20170404,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=120661&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=241954&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1170&p3=234&p4=241954,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=271&p3=53&p4=241954,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e241954&msk=0&t=1
244028,126-зд от 01.03.2016,Комитет по строительству,7830002342,Ооо 'улмис',7842473970,Василеостровский,Камская ул. От 14-15 линии в.о. До 16-17 линии в.о.),Огранич.движения,Работы по размещению временного ограждения,20160305,20161215,20200827,(этап 2),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=124341&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=244028&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e243745&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1404&p3=234&p4=244028,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=324&p3=53&p4=244028,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e244028&msk=0&t=1
268254,2374-зд от 20.12.2016,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Театральная пл. (от ул. Глинки до наб. Крюкова канала),Полное закрытие дв.,-,20161223,20170227,20170714,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268254&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1638&p3=234&p4=268254,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=377&p3=55&p4=268254,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268254&msk=0&t=1
268255,2375-зд от 20.12.2016,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Театральная пл. (от ул. Глинки до восточного проезда театральной пл.),Полное закрытие дв.,-,20161223,20170227,20170713,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268255&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1872&p3=234&p4=268255,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=432&p3=53&p4=268255,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268255&msk=0&t=1
268257,2376-зд от 20.12.2016,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Ул.глинки (от ул. Декабристов до театральной пл.),Огранич.движения,-,20161223,20170227,20170713,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268257&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2106&p3=234&p4=268257,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=485&p3=55&p4=268257,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268257&msk=0&t=1
276318,404-зд от 31.03.2017,Ооо 'пётр великий',7825382561,Ооо 'пётр великий',7825382561,Адмиралтейский,Английская наб. От сенатской пл. До замятина пер.),Огранич.движения,Работы по размещению временного ограждения,20170403,20190808,20200811,(этапы 2 и 1 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=185311&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=276318&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e274185&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2340&p3=234&p4=276318,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=540&p3=55&p4=276318,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e276318&msk=0&t=1
276323,405-зд от 31.03.2017,Ооо 'пётр великий',7825382561,Ооо 'пётр великий',7825382561,Адмиралтейский,Галерная ул. (нечетная сторона) от сенатской пл. До замятина пер.),Огранич.движения,Работы по размещению временного ограждения,20170403,20190808,20200811,(этапы 2 и 1 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=185311&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=276323&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e274186&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2574&p3=234&p4=276323,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=595&p3=51&p4=276323,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e276323&msk=0&t=1
278976,673-зд от 12.05.2017,Ооо 'спб реновация',7841415782,Ооо 'спб реновация',7841415782,Невский,"/заводская ул. (г.санкт-петербург,усть-славянка) (от славянской ул. До лесной ул.)",Полное закрытие дв.,-,20170515,20190819,20191118,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=189668&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=278976&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2808&p3=242&p4=278976,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=646&p3=83&p4=278976,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e278976&msk=0&t=1
278977,674-зд от 12.05.2017,Ооо 'спб реновация',7841415782,Ооо 'спб реновация',7841415782,Невский,"/славянская ул. (г.санкт-петербург,усть-славянка) (от гудиловской ул. До советского пр.)",Полное закрытие дв.,-,20170515,20190819,20191118,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=189668&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=278977&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3050&p3=238&p4=278977,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=729&p3=72&p4=278977,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e278977&msk=0&t=1
283066,1054-зд от 28.06.2017,Ооо 'корт',7814093166,Ооо 'корт',7814093166,Приморский,Байконурская ул. От пр. Королёва до пр. Испытателей),Огранич.движения,Работы по размещению временного ограждения,20170701,20200501,20200513,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=202923&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283066&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e280723&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3288&p3=234&p4=283066,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=801&p3=56&p4=283066,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283066&msk=0&t=1
283485,1119-зд от 30.06.2017,Ано 'арена-2018',7704279496,Ано 'арена-2018',7704279496,Петроградский,Северная дор. (от велосипедной аллеи до футбольной аллеи),Закрытие одного напр,-,20170703,20180614,20180929,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204573&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283485&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3522&p3=234&p4=283485,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=857&p3=55&p4=283485,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283485&msk=0&t=1
283488,1120-зд от 30.06.2017,Ано 'арена-2018',7704279496,Ано 'арена-2018',7704279496,Петроградский,/южная дор. (г.санкт-петербург) (от теннисной аллеи до футбольной аллеи),Закрытие одного напр,-,20170703,20180614,20180829,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204573&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283488&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3756&p3=234&p4=283488,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=912&p3=55&p4=283488,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283488&msk=0&t=1
283489,1121-зд от 30.06.2017,Ано 'арена-2018',7704279496,Ано 'арена-2018',7704279496,Петроградский,Футбольная аллея (от северной дороги до южной дороги),Полное закрытие дв.,-,20170703,20180614,20180829,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204573&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283489&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3990&p3=234&p4=283489,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=967&p3=55&p4=283489,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283489&msk=0&t=1
283583,1129-зд от 03.07.2017,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Театральная пл. От ул. Глинки до восточного проезда театральной пл.),Полное закрытие дв.,Работы по размещению временного ограждения,20170706,20180531,-,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204412&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283583&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e258091&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4224&p3=234&p4=283583,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1022&p3=55&p4=283583,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283583&msk=0&t=1
283584,1130-зд от 03.07.2017,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Ул.глинки от ул. Декабристов до театральной пл.),Огранич.движения,Работы по размещению временного ограждения,20170706,20180531,-,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204412&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283584&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e258091&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4458&p3=243&p4=283584,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1077&p3=88&p4=283584,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283584&msk=0&t=1
283585,1131-зд от 03.07.2017,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Театральная пл. От наб. Крюкова канала до ул. Глинки),Огранич.движения,Работы по размещению временного ограждения,20170706,20180531,-,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204412&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283585&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e258091&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4701&p3=234&p4=283585,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1165&p3=53&p4=283585,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283585&msk=0&t=1
285986,1416-зд от 27.07.2017,Ао 'проммонолит',7803058547,Ао 'проммонолит',7803058547,Выборгский,Пр.энгельса от новороссийской ул. До новосильцевского пер.),Огранич.движения,Работы по размещению пешеходной галереи,20170801,20190717,20200428,(этап 3),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=209169&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=285986&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e284948&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4935&p3=234&p4=285986,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1218&p3=58&p4=285986,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e285986&msk=0&t=1
288393,1660-зд от 22.08.2017,Ооо 'бонава санкт-петербург',7841322136,Ооо 'бонава санкт-петербург',7841322136,Петроградский,Ул.академика павлова от пр.медиков до аптекарского пр.),Полное закрытие дв.,Работы по размещению временного ограждения,20170825,20220914,20220916,"(этапы 1,2,3 последовательно)",Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=214276&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=288393&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e285648&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5169&p3=234&p4=288393,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1276&p3=53&p4=288393,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e288393&msk=0&t=1
294174,2378-зд от 23.10.2017,Ооо 'группа 'спектр',6027101800,Ооо 'группа 'спектр',6027101800,Невский,Пр.обуховской обороны (от ул.книпович до слободской ул.),Огранич.движения,-,20171026,20181009,20181126,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=228031&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=294174&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5403&p3=234&p4=294174,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1329&p3=55&p4=294174,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e294174&msk=0&t=1
297600,2659-зд от 28.11.2017,Ао 'лк 'ликострой',7710468910,Ао 'лк 'ликострой',7710468910,Невский,Пер.матюшенко (от ул. Бабушкина до прямого пр.),Полное закрытие дв.,-,20171202,20200918,20180502,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=235345&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=297600&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5637&p3=234&p4=297600,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1384&p3=53&p4=297600,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e297600&msk=0&t=1
298815,2738-зд от 12.12.2017,Ао 'газпромнефть восточно-европейские проекты',7838392359,Ао 'газпромнефть восточно-европейские проекты',7838392359,Красногвардейский,Малоохтинская наб. ((боковой проезд) от большеохтинского моста до малоохтинского моста),Закрытие одного напр,-,20171215,20181015,20181031,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=237669&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=298815&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5871&p3=238&p4=298815,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1437&p3=70&p4=298815,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e298815&msk=0&t=1
305731,193-зд от 20.02.2018,Ооо 'меандр',7813370716,Ооо 'меандр',7813370716,Адмиралтейский,Ул.глинки (от ул.декабристов до южного проезда театральной площади),Огранич.движения,-,20180227,20180531,20180723,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305731&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6109&p3=238&p4=305731,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1507&p3=72&p4=305731,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305731&msk=0&t=1
305732,194-зд от 20.02.2018,Ооо 'меандр',7813370716,Ооо 'меандр',7813370716,Адмиралтейский,"Г.санкт-петербург, северный проезд вдоль консерватории",Полное закрытие дв.,-,20180227,20180531,20180723,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305732&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6347&p3=238&p4=305732,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1579&p3=70&p4=305732,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305732&msk=0&t=1
305734,195-зд от 20.02.2018,Ооо 'меандр',7813370716,Ооо 'меандр',7813370716,Адмиралтейский,"Г.санкт-петербург, восточный проезд театральной площади",Полное закрытие дв.,-,20180227,20180531,20180723,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305734&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6585&p3=234&p4=305734,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1649&p3=53&p4=305734,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305734&msk=0&t=1
305739,196-зд от 20.02.2018,Ооо 'меандр',7813370716,Ооо 'меандр',7813370716,Адмиралтейский,"Г.санкт-петербург, южный проезд вдоль консерватории",Полное закрытие дв.,-,20180227,20180531,20180723,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305739&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6819&p3=234&p4=305739,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1702&p3=53&p4=305739,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305739&msk=0&t=1
309203,327-зд от 20.03.2018,Ао 'лк 'ликострой',7710468910,Ао 'лк 'ликострой',7710468910,Невский,Пер.матюшенко от ул.бабушкина до прямого пр.),Полное закрытие дв.,Работы по размещению временного ограждения,20180324,20200918,20210112,(этап 2),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=248190&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=309203&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e244031&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7053&p3=238&p4=309203,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1755&p3=70&p4=309203,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e309203&msk=0&t=1
317436,1164-зд от 01.06.2018,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Василеостровский,"/ул.кораблестроителей (г.санкт-петербург) ((боковой проезд, нечетная сторона) от капитанской ул. До адмиральского проезда)",Полное закрытие дв.,-,20180604,20181011,20181106,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=262722&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=317436&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7291&p3=234&p4=317436,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1825&p3=51&p4=317436,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e317436&msk=0&t=1
313622,1289-зд от 15.06.2018,Ооо 'ладожский берег',7802753509,Ооо 'ладожский берег',7802753509,Адмиралтейский,Бронницкая ул. (от загородного пр. До клинского пр.),Огранич.движения,-,20180716,20181009,20181024,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=268477&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=313622&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7525&p3=234&p4=313622,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1876&p3=53&p4=313622,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e313622&msk=0&t=1
321333,1543-зд от 12.07.2018,Ооо 'еврострой-развитие',7813570948,Ооо 'еврострой-развитие',7813570948,Петроградский,Ул.вакуленчука (от эсперовой ул. До тупика),Полное закрытие дв.,-,20180721,20190929,20191007,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=276585&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=321333&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7759&p3=234&p4=321333,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1929&p3=55&p4=321333,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e321333&msk=0&t=1
321390,1540-зд от 12.07.2018,Ооо 'рск воссоздание',7842021501,Ооо 'рск воссоздание',7842021501,Адмиралтейский,Ул.глинки ((четная сторона) от пр.римского-корсакова до театральной пл.),Огранич.движения,-,20180716,20190521,20190813,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=276527&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=321390&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7993&p3=234&p4=321390,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1984&p3=51&p4=321390,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e321390&msk=0&t=1
321506,1541-зд от 12.07.2018,Ооо 'рск воссоздание',7842021501,Ооо 'рск воссоздание',7842021501,Адмиралтейский,Театральная пл. (от ул.глинки до восточного проезда театральной пл.),Огранич.движения,-,20180716,20190521,20190813,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=276527&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=321506&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=8227&p3=234&p4=321506,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=2035&p3=53&p4=321506,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e321506&msk=0&t=1
